experiment_id,trial_id,created_checkpoint_uuid,experiment_seed,checkpoint_uuid,dataset,encoder,freeze_encoder,global_batch_size,img_rescale_size,keep_enc_fc,lr,method,momentum,normalize_data,pred_head_features,pred_head_structure,scheduler,split_seed,split_size,test_augmentation,train_augmentation,use_larc,weight_decay,auroc,ece,test_acc,test_auroc,test_ece,test_f1,test_loss,v_acc,v_f1,v_loss
11654,84692,8e98f24b-3050-4d3a-a5c2-a6e5499d2009,1643403513,82c0d973-c448-4369-867b-e8e82982797a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9942358136177063,0.007234207820147276,0.9057102799415588,0.9867320656776428,0.01387530192732811,0.8751296997070312,0.323385089635849,0.9103999733924866,0.9109320044517517,0.26454615592956543
11654,84693,1115a7d0-f77c-4b23-bb1d-af7d28f690e4,1643403513,0f8c1c69-a06b-4f7c-b820-0ae334398c14,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9946237206459045,0.009045564569532871,0.9139275550842285,0.9911777973175049,0.013941860757768154,0.8801209926605225,0.2727791368961334,0.9165999889373779,0.9179810881614685,0.24051687121391296
11654,84694,0fd41d84-21ea-46e0-ab7b-4783fe29b652,1643403513,0f8c1c69-a06b-4f7c-b820-0ae334398c14,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9859269261360168,0.07709655910730362,0.8019498586654663,0.9849690198898315,0.04629182443022728,0.7593908309936523,0.5340561270713806,0.8352000117301941,0.825917661190033,0.5119055509567261
11654,84695,48148a64-3ba2-4141-b73c-26848d0394d7,1643403513,0f9767a2-28d9-4e67-9e88-35ccea32a3e3,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9881308674812317,0.020467713475227356,0.8998607397079468,0.9907665252685547,0.01624630019068718,0.8635299205780029,0.3156224191188812,0.8903999924659729,0.8906475305557251,0.3842354416847229
11654,84710,7aea828d-fc80-4f49-be60-5e0557c15072,1643403513,cf6b2ab5-4c8f-4432-965b-8f25fe4193f4,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9948049187660217,0.012020708061754704,0.9057102799415588,0.9917470216751099,0.009686343371868134,0.8725425004959106,0.2918940782546997,0.9175000190734863,0.9187601804733276,0.24150322377681732
11654,84712,8c8a1a02-5b0b-4029-87bc-51e8dc939350,1643403513,a6eddd47-425f-4b92-a8e7-a79a67a2479d,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9809808731079102,0.012134907767176628,0.8573816418647766,0.9851940870285034,0.017616789788007736,0.8278014659881592,0.4559933841228485,0.855400025844574,0.8560139536857605,0.5824838876724243
11654,84718,9a79d5a6-0585-40bd-8a72-682c59a3d66d,1643403513,a6eddd47-425f-4b92-a8e7-a79a67a2479d,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9852146506309509,0.07085150480270386,0.8090529441833496,0.9815045595169067,0.04248412325978279,0.7647031545639038,0.5666510462760925,0.8489000201225281,0.8392550349235535,0.48712271451950073
11654,84723,ebeb365f-48ba-420b-8494-3b4562f15ff3,1643403513,82c0d973-c448-4369-867b-e8e82982797a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9857448935508728,0.058775752782821655,0.8025069832801819,0.9868835806846619,0.04713711142539978,0.7644168138504028,0.49808400869369507,0.8330000042915344,0.825374960899353,0.47730180621147156
11654,84724,4b52a5a4-9ae3-4a01-9931-25c3eab5bd68,1643403513,0f9767a2-28d9-4e67-9e88-35ccea32a3e3,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.960414707660675,0.07877812534570694,0.7506963610649109,0.9711389541625977,0.05963689833879471,0.7229955196380615,0.7775808572769165,0.7792999744415283,0.7690237760543823,0.7741917967796326
11654,84731,0d0e045f-4845-4aa5-89e0-e1b7aa0bb64a,1643403513,cf6b2ab5-4c8f-4432-965b-8f25fe4193f4,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9857406616210938,0.06477515399456024,0.8153203129768372,0.9822247624397278,0.04651973396539688,0.773680567741394,0.5384962558746338,0.848800003528595,0.843556821346283,0.47169727087020874
11655,84696,78c038e1-ae3a-44f2-be99-838e30659544,1645520637,cf6b2ab5-4c8f-4432-965b-8f25fe4193f4,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,paws,0.9,True,,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9951657056808472,0.015435632318258286,0.9128133654594421,0.9909714460372925,0.013924654573202133,0.8809693455696106,0.2716173827648163,0.9229000210762024,0.9237399697303772,0.23077090084552765
